"Day","Cash On Hand"
0,3500000
1,3487400
2,3220040
3,1108165
4,185523
5,193761
6,208200
7,66597
8,95068
9,123906
10,530091
11,640947
12,235785
13,247201
14,324353
15,417908
16,181343
17,393627
18,531129
19,577160
20,442645
21,566273
22,179757
23,313687
24,824041
25,972017
26,404430
27,213640
28,1111764
29,1329167
30,1186058
31,573796
32,689418
33,803477
34,1589637
35,1974547
36,1357445
37,1656090
38,2752654
39,4743056
40,5195508
41,4912956
42,5006946
43,5289153
44,4161093
45,4010052
46,4327199
47,4758459
48,4735317
49,5061000
50,5879462
51,2235377
52,1366439
53,1607830
54,134105
55,569701
56,1103329
57,1809503
58,465211
59,1117211
60,1808322
61,2479250
62,2653658
63,2899663
64,2905495
65,2964947
66,3239917
67,3412938
68,3224552
69,3871575
70,4451929
71,4986529
72,6565283
73,9205333
74,11052341
75,11949148
76,13278161
77,13158674
78,17043612
79,18821925
80,19614089
81,11453912
82,12578893
83,15614630
84,15380868
85,10647149
86,11001019
87,13201055
88,12014435
89,12055347
90,13300886
